p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.452362326186066	0.963	0.23	0	Lateral Root Cap	AT5G24070
0	3.164222568681793	0.867	0.163	0	Lateral Root Cap	AT5G60530
0	4.246854280960317	0.757	0.065	0	Lateral Root Cap	AT1G16905
0	3.8858372279314684	0.843	0.154	0	Lateral Root Cap	AT4G25310
0	2.2325976582146034	0.941	0.288	0	Lateral Root Cap	AT5G35735
0	3.0888407029274103	0.783	0.135	0	Lateral Root Cap	AT1G33280
0	3.4367089197344045	0.889	0.268	0	Lateral Root Cap	AT1G72140
0	2.6742933853646433	0.728	0.115	0	Lateral Root Cap	AT5G55110
0	4.279238122035233	0.762	0.16	0	Lateral Root Cap	AT5G50200
0	2.852552164861296	0.781	0.19	0	Lateral Root Cap	AT3G03500
0	2.956276291241407	0.839	0.248	0	Lateral Root Cap	AT3G19660
0	3.139183830140687	0.905	0.322	0	Lateral Root Cap	AT4G08555
0	2.6432794791746126	0.719	0.137	0	Lateral Root Cap	AT3G45010
0	3.0526453730457677	0.713	0.134	0	Lateral Root Cap	AT5G54370
0	3.26445928040937	0.846	0.271	0	Lateral Root Cap	AT2G39350
0	4.066181811317053	0.684	0.113	0	Lateral Root Cap	AT1G74010
0	2.7390036463132104	0.982	0.411	0	Lateral Root Cap	AT3G25597
0	3.3814914764513713	0.926	0.363	0	Lateral Root Cap	AT1G47510
0	3.4070892893326166	0.666	0.107	0	Lateral Root Cap	AT5G33290
0	3.52560370343519	0.861	0.335	0	Lateral Root Cap	AT5G20230
0	4.1449866098733725	0.868	0.352	0	Lateral Root Cap	AT1G52070
0	2.952101345011178	0.859	0.347	0	Lateral Root Cap	AT2G29995
0	2.368746126603924	0.956	0.458	0	Lateral Root Cap	AT3G16450
0	2.4353426904236484	0.965	0.471	0	Lateral Root Cap	AT1G12740
0	4.065428962414226	0.545	0.06	0	Lateral Root Cap	AT1G52050
0	2.5529103281907917	0.979	0.552	0	Lateral Root Cap	AT5G05600
0	5.687088823374358	0.451	0.025	0	Lateral Root Cap	AT1G71140
0	2.6414625591035907	0.969	0.547	0	Lateral Root Cap	AT3G13435
0	2.4005395203507987	0.962	0.542	0	Lateral Root Cap	AT5G03030
0	2.6873993431011156	0.954	0.54	0	Lateral Root Cap	AT1G01470
0	2.4986166606571953	0.985	0.594	0	Lateral Root Cap	AT2G15480
0	2.392769669104414	0.966	0.637	0	Lateral Root Cap	AT2G47485
0	2.3449968804377583	0.953	0.641	0	Lateral Root Cap	AT4G17940
0	2.0211701171336722	0.983	0.677	0	Lateral Root Cap	AT1G74020
0	3.0060399704887852	0.999	0.703	0	Lateral Root Cap	AT1G25275
0	2.244101644165842	0.996	0.712	0	Lateral Root Cap	AT1G62570
0	2.1768801236158857	0.981	0.7	0	Lateral Root Cap	AT3G06420
0	2.247416640115793	0.998	0.719	0	Lateral Root Cap	AT1G45145
0	2.0953942572628956	0.99	0.713	0	Lateral Root Cap	AT3G04640
0	2.5310011127501264	0.977	0.703	0	Lateral Root Cap	AT3G07390
0	2.506864686445167	0.995	0.722	0	Lateral Root Cap	AT1G78850
0	3.1119998319530726	0.984	0.721	0	Lateral Root Cap	AT3G05880
0	3.2025049234333594	0.973	0.711	0	Lateral Root Cap	AT5G64250
0	2.2872212091972544	0.989	0.742	0	Lateral Root Cap	AT4G36040
0	2.699624299351073	0.995	0.78	0	Lateral Root Cap	AT1G17170
0	2.4938094661997217	0.999	0.786	0	Lateral Root Cap	AT1G14870
0	2.500173442676916	0.995	0.787	0	Lateral Root Cap	AT1G03220
0	1.9902983769130365	0.998	0.821	0	Lateral Root Cap	AT4G19200
0	3.382171398886334	1	0.85	0	Lateral Root Cap	AT1G17180
0	2.5898947980839395	1	0.858	0	Lateral Root Cap	AT2G43610
0	2.7425175549893774	0.995	0.857	0	Lateral Root Cap	AT5G48180
0	2.574385129812883	0.996	0.867	0	Lateral Root Cap	AT2G29420
0	1.9426721800158657	0.997	0.879	0	Lateral Root Cap	AT4G21990
0	2.4637364348370614	0.999	0.896	0	Lateral Root Cap	AT3G30775
0	2.6778003705117763	0.996	0.91	0	Lateral Root Cap	AT5G07440
0	1.573692310109591	0.999	0.923	0	Lateral Root Cap	AT2G37110
0	2.053346508037298	1	0.936	0	Lateral Root Cap	AT1G09070
0	2.8050318182816656	0.999	0.942	0	Lateral Root Cap	AT1G76680
0	2.082020957623694	0.998	0.955	0	Lateral Root Cap	AT4G02890
0	2.188018831321229	1	0.965	0	Lateral Root Cap	AT4G11600
0	2.043367710922948	1	0.983	0	Lateral Root Cap	AT1G66580
0	2.0455124587324165	1	0.987	0	Lateral Root Cap	AT4G05320
0	1.582975265807912	1	1	0	Lateral Root Cap	AT1G78380
1.0927228427141958e-307	2.3256608132496566	0.951	0.632	3.0190839421350514e-303	Lateral Root Cap	AT3G19010
9.713531727446891e-305	2.3604721093427785	0.987	0.873	2.6837516809763016e-300	Lateral Root Cap	AT3G50970
1.5047695637910683e-302	4.4463616999164515	0.669	0.148	4.157527827798342e-298	Lateral Root Cap	AT2G38870
2.624080533476267e-301	2.122475958565408	0.965	0.581	7.250072105941579e-297	Lateral Root Cap	AT5G41810
2.7987261646370598e-301	1.9486978322292858	0.989	0.81	7.732600520275732e-297	Lateral Root Cap	AT1G70410
1.3422645366371777e-299	3.4904486420178555	0.778	0.234	3.708542688274858e-295	Lateral Root Cap	AT5G39050
1.522111936021903e-298	1.7421683337921645	0.993	0.876	4.205443068034916e-294	Lateral Root Cap	AT5G01410
4.9657621937969205e-298	1.8605990498370986	0.995	0.83	1.371990436524151e-293	Lateral Root Cap	AT1G71950
1.3904544553185156e-297	3.2840490502606956	0.57	0.072	3.841686614599527e-293	Lateral Root Cap	AT5G15940
8.176183125987345e-294	2.6642216903932203	0.951	0.688	2.2589976358790436e-289	Lateral Root Cap	AT2G24850
8.558776647515972e-294	2.2493659271533533	0.939	0.513	2.364704399942188e-289	Lateral Root Cap	AT2G30550
2.1945958361444335e-291	2.293383527996946	0.964	0.723	6.063448835683456e-287	Lateral Root Cap	AT2G24500
3.640736512540339e-291	2.343075864526308	0.962	0.664	1.0058990910497704e-286	Lateral Root Cap	AT5G61820
1.597588174752274e-290	2.1481400267212027	0.845	0.235	4.413976368023058e-286	Lateral Root Cap	AT1G23150
8.312824107051756e-289	2.0453176888580664	0.966	0.585	2.2967501725373295e-284	Lateral Root Cap	AT1G71697
1.2718011917082565e-288	2.9728039643134156	0.646	0.11	3.5138595125707416e-284	Lateral Root Cap	AT4G10350
3.337691152767965e-287	2.5840975132317285	0.955	0.725	9.221706885982611e-283	Lateral Root Cap	AT1G62180
3.896685443511758e-285	3.3087908624400315	0.503	0.05	1.0766152211878637e-280	Lateral Root Cap	AT5G20045
5.750875816413922e-285	2.791593016972526	0.663	0.126	1.5889094793170025e-280	Lateral Root Cap	AT4G15350
4.8788142989209574e-282	2.424727387679008	0.983	0.748	1.3479676026488713e-277	Lateral Root Cap	AT2G17840
3.276706738247511e-280	1.8811250921641731	0.993	0.756	9.053213047104048e-276	Lateral Root Cap	AT1G17860
3.3439842494513176e-280	1.5668916345331976	1	0.965	9.239094082809045e-276	Lateral Root Cap	AT5G08790
7.720504068760096e-280	2.22667415304976	0.943	0.7	2.1330980691577267e-275	Lateral Root Cap	AT5G51830
9.297341769451367e-279	1.9403214757801308	0.967	0.683	2.5687625574817183e-274	Lateral Root Cap	AT5G45350
1.8875241162269034e-278	2.2584832947170277	0.917	0.458	5.215040380723311e-274	Lateral Root Cap	AT2G45170
4.734109975411788e-277	1.9457369661471313	0.977	0.687	1.307987245106523e-272	Lateral Root Cap	AT1G62300
6.174580395930399e-277	2.325948115590752	0.945	0.612	1.7059748175916097e-272	Lateral Root Cap	AT3G13110
6.108757744870436e-275	2.4653129355589334	0.515	0.06	1.6877886773302528e-270	Lateral Root Cap	AT3G49190
