gene	tissue
AT2G33230	Columella
AT3G10320	Columella
AT4G18350	Columella
AT5G22550	Columella
AT1G26680	Columella
AT2G18230	Columella
AT3G18230	Columella
AT3G28540	Columella
AT3G52890	Columella
AT3G55180	Columella
AT5G07550	Columella
AT3G29810	Columella
AT5G48300	Columella
AT5G64860	Columella
AT3G44240	Columella
AT3G62320	Columella
AT5G48130	Columella
AT1G04600	Columella
AT5G58580	Columella
AT1G68640	Qc
AT3G26120	Qc
AT5G23780	Qc
AT5G17430	Qc
AT2G03830	Qc
AT2G23050	Qc
AT1G30530	Qc
AT5G25900	Qc
AT5G45780	Qc
AT1G11420	Qc
AT3G13510	Qc
AT3G30350	Qc
AT1G16070	Qc
AT1G75580	Qc
AT1G05570	Cortex
AT1G15460	Cortex
AT1G62510	Cortex
AT3G12700	Cortex
AT3G14850	Cortex
AT5G03570	Cortex
AT5G44130	Cortex
AT5G53370	Cortex
AT5G55250	Cortex
AT1G64380	Cortex
AT5G48000	Cortex
AT3G21670	Cortex
AT1G30380	Cortex
AT1G52410	Cortex
AT3G26300	Cortex
AT4G00700	Cortex
AT3G56080	Cortex
AT5G27350	Cortex
AT1G30750	Endodermis
AT1G60690	Endodermis
AT1G61590	Endodermis
AT1G71740	Endodermis
AT2G21100	Endodermis
AT2G27370	Endodermis
AT2G30210	Endodermis
AT2G39430	Endodermis
AT2G40160	Endodermis
AT2G48130	Endodermis
AT3G11550	Endodermis
AT3G22620	Endodermis
AT4G02090	Endodermis
AT4G17215	Endodermis
AT5G06200	Endodermis
AT5G42180	Endodermis
AT5G66390	Endodermis
AT1G01120	Endodermis
AT2G14900	Endodermis
AT1G74430	Pericycle
AT3G24310	Pericycle
AT4G28250	Pericycle
AT5G25920	Pericycle
AT4G29770	Pericycle
AT1G58025	Pericycle
AT4G34650	Pericycle
AT5G06080	Pericycle
AT1G52400	Pericycle
AT2G19900	Pericycle
AT5G24240	Pericycle
AT3G06020	Pericycle
AT3G29635	Pericycle
AT4G17760	Pericycle
AT1G14730	Protophloem
AT5G40260	Protophloem
AT5G57130	Protophloem
AT5G62940	Protophloem
AT1G15080	Protophloem
AT3G01680	Protophloem
AT4G13600	Protophloem
AT5G67460	Protophloem
AT5G22870	Protophloem
AT1G54330	Protophloem
AT1G60030	Protophloem
AT3G17730	Protophloem
AT4G17910	Protophloem
AT4G36620	Protophloem
AT4G03270	Protophloem
AT1G06490	Protophloem
AT1G11915	Protophloem
AT1G13050	Protophloem
AT1G31335	Protophloem
AT1G33480	Protophloem
AT1G11570	Phloem
AT1G69580	Phloem
AT1G69970	Phloem
AT2G41200	Phloem
AT3G47180	Phloem
AT4G04620	Phloem
AT4G16400	Phloem
AT5G01480	Phloem
AT5G04680	Phloem
AT5G16610	Phloem
AT5G53030	Phloem
AT1G02950	Phloem
AT1G05610	Phloem
AT1G05770	Phloem
AT1G10360	Phloem
AT1G13920	Phloem
AT1G04540	Protoxylem
AT1G04760	Protoxylem
AT1G06020	Protoxylem
AT1G07120	Protoxylem
AT1G09610	Protoxylem
AT1G09890	Protoxylem
AT1G10800	Protoxylem
AT1G12450	Protoxylem
AT1G14190	Protoxylem
AT1G16520	Protoxylem
AT1G17950	Protoxylem
AT1G19230	Protoxylem
AT1G20720	Protoxylem
AT1G21780	Protoxylem
AT1G26570	Protoxylem
AT1G27920	Protoxylem
AT1G29200	Protoxylem
AT1G48280	Protoxylem
AT1G51640	Protoxylem
AT1G80100	Merixylem
AT4G37650	Merixylem
AT1G29950	Merixylem
AT4G02750	Merixylem
AT4G12620	Merixylem
AT1G74150	Merixylem
AT5G08260	Merixylem
AT5G63140	Merixylem
AT2G25060	Merixylem
AT3G14730	Merixylem
AT3G22790	Merixylem
AT1G29940	Merixylem
AT5G06210	Merixylem
AT3G61100	Merixylem
AT2G13540	Merixylem
AT3G53190	Merixylem
AT5G37010	Merixylem
AT5G25475	Merixylem
AT3G54090	Merixylem
AT3G20430	Merixylem
AT4G00730	Atrichoblast
AT5G66800	Atrichoblast
AT1G68560	Atrichoblast
AT1G31950	Atrichoblast
AT4G25250	Atrichoblast
AT1G79840	Atrichoblast
AT5G19750	Atrichoblast
AT4G00360	Atrichoblast
AT1G03550	Trichoblast
AT1G45545	Trichoblast
AT1G48930	Trichoblast
AT1G69240	Trichoblast
AT2G46380	Trichoblast
AT3G51410	Trichoblast
AT3G60630	Trichoblast
AT4G04930	Trichoblast
AT1G13950	Trichoblast
AT2G03220	Trichoblast
AT4G07960	Trichoblast
AT4G25160	Trichoblast
AT5G07450	Trichoblast
AT5G65160	Trichoblast
AT4G09500	Trichoblast
AT3G46270	Trichoblast
AT4G16920	Trichoblast
AT1G07795	Trichoblast
