identifier	name
AT1G01010	AT1G01010
AT1G01020	AT1G01020
AT1G01030	AT1G01030
AT1G01040	AT1G01040
AT1G01050	AT1G01050
AT1G01060	AT1G01060
AT1G01070	T25K16-7
AT1G01080	AT1G01080
AT1G01090	AT1G01090
AT1G01100	AT1G01100
AT1G01110	AT1G01110
AT1G01120	AT1G01120
AT1G01130	AT1G01130
AT1G01140	AT1G01140
AT1G01150	F6F3-30
AT1G01160	AT1G01160
AT1G01170	AT1G01170
AT1G01180	AT1G01180
AT1G01190	AT1G01190
AT1G01200	AT1G01200
AT1G01210	AT1G01210
AT1G01220	AT1G01220
AT1G01225	AT1G01225
AT1G01230	AT1G01230
AT1G01240	AT1G01240
AT1G01250	AT1G01250
AT1G01260	AT1G01260
AT1G01280	AT1G01280
AT1G01290	AT1G01290
AT1G01300	AT1G01300
AT1G01305	AT1G01305
AT1G01310	AT1G01310
AT1G01320	F6F3-12
AT1G01335	AT1G01335
AT1G01340	AT1G01340
AT1G01350	F6F3-14
AT1G01355	AT1G01355
AT1G01360	AT1G01360
AT1G01370	AT1G01370
AT1G01380	AT1G01380
AT1G01390	AT1G01390
AT1G01400	AT1G01400
AT1G01410	AT1G01410
AT1G01420	AT1G01420
AT1G01430	AT1G01430
AT1G01440	F6F3-24
AT1G01450	AT1G01450
AT1G01453	F22L4-1
AT1G01460	AT1G01460
AT1G01470	AT1G01470
AT1G01480	AT1G01480
AT1G01490	AT1G01490
AT1G01500	AT1G01500
AT1G01510	AT1G01510
AT1G01520	AT1G01520
AT1G01530	AT1G01530
AT1G01540	AT1G01540
AT1G01550	AT1G01550
AT1G01560	AT1G01560
AT1G01570	AT1G01570
AT1G01580	AT1G01580
AT1G01590	AT1G01590
AT1G01600	AT1G01600
AT1G01610	AT1G01610
AT1G01620	AT1G01620
AT1G01630	AT1G01630
AT1G01640	AT1G01640
AT1G01650	AT1G01650
AT1G01660	AT1G01660
AT1G01670	AT1G01670
AT1G01680	AT1G01680
AT1G01690	AT1G01690
AT1G01695	AT1G01695
AT1G01700	AT1G01700
AT1G01710	AT1G01710
AT1G01715	AT1G01715
AT1G01720	AT1G01720
AT1G01725	T1N6-13
AT1G01730	T1N6-14
AT1G01740	AT1G01740
AT1G01750	AT1G01750
AT1G01760	AT1G01760
AT1G01770	AT1G01770
AT1G01780	AT1G01780
AT1G01790	AT1G01790
AT1G01800	AT1G01800
AT1G01810	T1N6-23
AT1G01820	AT1G01820
AT1G01830	AT1G01830
AT1G01840	AT1G01840
AT1G01860	AT1G01860
AT1G01880	AT1G01880
AT1G01900	AT1G01900
AT1G01910	AT1G01910
AT1G01920	AT1G01920
AT1G01930	AT1G01930
AT1G01940	AT1G01940
AT1G01950	AT1G01950
AT1G01960	AT1G01960
AT1G01970	AT1G01970
AT1G01980	AT1G01980
AT1G01990	AT1G01990
AT1G02000	AT1G02000
AT1G02010	AT1G02010
AT1G02020	AT1G02020
AT1G02030	AT1G02030
AT1G02040	AT1G02040
AT1G02050	AT1G02050
AT1G02060	AT1G02060
AT1G02065	AT1G02065
AT1G02067	AT1G02067
AT1G02070	AT1G02070
AT1G02080	AT1G02080
AT1G02090	AT1G02090
AT1G02100	AT1G02100
AT1G02110	T7I23-5
AT1G02120	AT1G02120
AT1G02130	AT1G02130
AT1G02140	T7I23-7
AT1G02145	AT1G02145
AT1G02150	AT1G02150
AT1G02160	AT1G02160
AT1G02170	AT1G02170
AT1G02180	AT1G02180
AT1G02190	AT1G02190
AT1G02205	AT1G02205
AT1G02210	AT1G02210
AT1G02220	AT1G02220
AT1G02230	AT1G02230
AT1G02250	AT1G02250
AT1G02260	AT1G02260
AT1G02270	AT1G02270
AT1G02280	AT1G02280
AT1G02290	AT1G02290
AT1G02300	AT1G02300
AT1G02305	CATHB2
AT1G02310	AT1G02310
AT1G02320	AT1G02320
AT1G02330	AT1G02330
AT1G02335	AT1G02335
AT1G02340	AT1G02340
AT1G02350	AT1G02350
AT1G02360	AT1G02360
AT1G02370	AT1G02370
AT1G02380	AT1G02380
AT1G02390	AT1G02390
AT1G02400	AT1G02400
AT1G02405	AT1G02405
AT1G02410	AT1G02410
AT1G02420	AT1G02420
AT1G02430	AT1G02430
AT1G02440	AT1G02440
AT1G02450	AT1G02450
AT1G02460	AT1G02460
AT1G02470	AT1G02470
AT1G02475	AT1G02475
AT1G02490	AT1G02490
AT1G02500	AT1G02500
AT1G02510	AT1G02510
AT1G02520	AT1G02520
AT1G02530	AT1G02530
AT1G02540	T14P4-13
AT1G02550	AT1G02550
AT1G02560	AT1G02560
AT1G02570	AT1G02570
AT1G02575	AT1G02575
AT1G02580	AT1G02580
AT1G02590	AT1G02590
AT1G02610	AT1G02610
AT1G02620	T14P4-21
AT1G02630	AT1G02630
AT1G02640	AT1G02640
AT1G02650	AT1G02650
AT1G02660	AT1G02660
AT1G02670	T14P4-5
AT1G02680	AT1G02680
AT1G02690	AT1G02690
AT1G02700	AT1G02700
AT1G02705	AT1G02705
AT1G02710	AT1G02710
AT1G02720	AT1G02720
AT1G02730	AT1G02730
AT1G02740	AT1G02740
AT1G02750	AT1G02750
AT1G02770	AT1G02770
AT1G02780	AT1G02780
AT1G02790	AT1G02790
AT1G02800	AT1G02800
AT1G02810	AT1G02810
AT1G02813	AT1G02813
AT1G02816	AT1G02816
AT1G02820	AT1G02820
AT1G02830	AT1G02830
AT1G02840	AT1G02840
AT1G02850	AT1G02850
AT1G02860	AT1G02860
AT1G02870	AT1G02870
AT1G02880	AT1G02880
AT1G02890	AT1G02890
AT1G02900	AT1G02900
AT1G02910	AT1G02910
AT1G02920	AT1G02920
AT1G02930	AT1G02930
AT1G02940	AT1G02940
AT1G02950	AT1G02950
AT1G02960	AT1G02960
AT1G02965	AT1G02965
AT1G02970	AT1G02970
