Orthogroup	Arabidopsis_thaliana	Lotus_japonicus
OG0000004	AT5G38240, AT5G38250	LotjaGi4g1v0454200
OG0000004	AT5G38260, AT1G66910, AT1G66920, AT1G66940, AT1G67000, AT1G66930	LotjaGi2g1v0267500, LotjaGi5g1v0337250
OG0000004	AT1G36005	LotjaGi1g1v0641700, LotjaGi1g1v0173500, LotjaGi5g1v0088100_LC, LotjaGi2g1v0019800, LotjaGi1g1v0012200, LotjaGi1g1v0012400, LotjaGi1g1v0392900, LotjaGi5g1v0087900_LC, LotjaGi1g1v0012700, LotjaGi1g1v0282500, LotjaGi1g1v0282800, LotjaGi1g1v0282600, LotjaGi1g1v0282300, LotjaGi1g1v0172800, LotjaGi1g1v0012100_LC, LotjaGi1g1v0173600_LC, LotjaGi2g1v0019700_LC, LotjaGi1g1v0172900, LotjaGi1g1v0173800_LC, LotjaGi1g1v0012500, LotjaGi5g1v0087000, LotjaGi1g1v0393000, LotjaGi1g1v0173000, LotjaGi1g1v0641600, LotjaGi1g1v0282700, LotjaGi1g1v0282200, LotjaGi1g1v0282400_LC
OG0000008	ATMG00310	LotjaGi4g1v0362300_LC, LotjaGi5g1v0286400_LC, LotjaGi1g1v0179500_LC
OG0000015	AT1G63320, AT1G12615	LotjaGi2g1v0444700_LC, LotjaGi1g1v0189600_LC, LotjaGi2g1v0150700_LC, LotjaGi1g1v0534500_LC, LotjaGi6g1v0189200, LotjaGi2g1v0194300
OG0000015	AT3G22470, AT1G12620, AT1G12775, AT1G12300, AT1G12700, AT1G64583	LotjaGi2g1v0189700
OG0000018	AT4G29090	LotjaGi1g1v0200900_LC, LotjaGi6g1v0038200_LC, LotjaGi5g1v0239200_LC, LotjaGi3g1v0130100_LC, LotjaGi4g1v0292700_LC, LotjaGi3g1v0238800_LC, LotjaGi3g1v0456900_LC, LotjaGi5g1v0309300_LC, LotjaGi6g1v0162300, LotjaGi6g1v0069100_LC, LotjaGi2g1v0312100_LC, LotjaGi5g1v0121100_LC, LotjaGi1g1v0570300_LC, LotjaGi3g1v0001000_LC, LotjaGi3g1v0145100_LC, LotjaGi2g1v0215900_LC, LotjaGi6g1v0071200_LC, LotjaGi5g1v0261600, LotjaGi5g1v0120100_LC, LotjaGi3g1v0064300_LC, LotjaGi1g1v0271800_LC
OG0000021	AT3G51690, AT3G51700	LotjaGi6g1v0275600_LC, LotjaGi5g1v0143000_LC, LotjaGi4g1v0150000_LC, LotjaGi3g1v0260000_LC, LotjaGi1g1v0250200_LC, LotjaGi1g1v0120900_LC
OG0000023	AT3G13540	LotjaGi6g1v0035700
OG0000023	AT3G62610, AT2G47460, AT5G49330	LotjaGi5g1v0246700, LotjaGi1g1v0761300
